"Designator","Footprint","Quantity","Value","LCSC Part #"
"C2,C4,C5","0402","3","100nF","C1525"
"C9,C12,C15,C22,C30,C31","0603","6","100nF","C14663"
"C1,C3,C7,C20,C32","0603","5","1uF","C15849"
"C6,C8,C16,C21,C24,C25,C26,C27,C28,C29","0603","10","10uF","C19702"
"C33","0603","1","10uF","C96446"
"C10,C11,C13,C17,C18","0805","5","22uF","C45783"
"C14","0603","1","22uF","C59461"
"C19","0603","1","4.7nF","C53987"
"C23","0603","1","47nF","C1622"
"R1,R2,R17,R24","0603","4","10k","C25804"
"R9,R10,R12,R18,R28","0603","5","100k","C25803"
"R5,R19,R20","0603","3","100R","C22775"
"R16","0603","1","107k","C245894"
"R14","0603","1","17.4k","C185365"
"R26,R27","0603","2","1k","C21190"
"R3,R4,R21","0603","3","2.2k","C4190"
"R6,R7","0603","2","22R","C23345"
"R11,R13","0603","2","300k","C23024"
"R22","0603","1","30k","C22984"
"R23","0603","1","5.23k","C185317"
"R8","0603","1","634k","C273753"
"R15","0603","1","953k","C403405"
"R25","1206","1","10mR","C7467248"
"L1,L2,L3","Inductor_SMD:L_Changjiang_FNR4030S","3","2.2uH","C54777963"
"Q1,Q3","SOT-23","2","AO3401A","C15127"
"Q2","SOT-23","1","AO3400A","C20917"
"Q4","SOT-23","1","2N7002","C8545"
"D1,D2,D3","SMD-4P 2.7x2.4 mm","3","WS2812B-2427-V6","C52941389"
"D4","0603","1","Red LED","C2286"
"D5","SMA","1","SS14","C2480"
"TH1","0603","1","10k NTC","C440252"
"U1","DFN 1.5x1.5 mm","1","SHT40","C2909890"
"U2","ESP32-S3-MINI-1","1","ESP32-S3-MINI-1-N8","C2913206"
"U3","TQFN-16 3x3 mm","1","MAX98357A","C910544"
"U4","X2QFN-12 1.6x1.6 mm","1","FUSB303B","C895444"
"U5","VQFN-11 2x2.5 mm","1","TPS61089","C165129"
"U6","UDFN2510-10","1","D3V3XA4B10LP","C1980462"
"U7","WQFN-24 4x4 mm","1","BQ25895","C80200"
"U8","VSON-10 3x3 mm","1","TPS63001","C28060"
"U9","SOT-23-5","1","INA180A3","C122882"
"J2","GCT_USB4110","1","USB-C receptacle","C5143397"
"J3","THT P2.00 mm","1","JST PH 2-pin right-angle","C173752"
"J4","SMT P1.25 mm","1","JST GH 3-pin right-angle","C514175"
"SW1,SW2","SMD-4P,5.1x5.1mm","2","Tactile switch","C318884"
