Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20, C3, C32, C7",0603,5,1uF,C15849
"C10, C11, C13, C17, C18",0805,5,22uF,C45783
"C12, C15, C22, C9",0603,4,0.1uF,C14663
C14,0603,1,22uF,C59461
"C16, C21, C24, C25, C26, C27, C28, C29, C6, C8",0603,10,10uF,C19702
C19,0603,1,4.7nF,C53987
"C2, C4, C5",0402,3,0.1uF,C1525
C23,0603,1,47nF,C1622
"C30, C31",0603,2,100nF,C14663
C33,0603,1,10uF,C96446
"D1, D2, D3",WS2812B-2427-V6_Rotated180,3,WS2812B-2427-V6,C52941389
D4,0603,1,STAT,C2286
D5,D_SMA,1,SS14,C2480
J1,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,1,Speaker,
J2,USB_C_Receptacle_GCT_USB4110,1,Charge,C5143397
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Battery,C173752
J4,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,1,Conn_01x03_Pin,C514175
"L1, L2, L3",L_Changjiang_FNR4030S,3,2.2uH,C54777963
"Q1, Q3",SOT-23,2,AO3401A,C15127
Q2,SOT-23,1,AO3400A,C20917
Q4,SOT-23,1,2N7002,C8545
"R1, R17, R2, R24",0603,4,10k,C25804
"R10, R12, R18, R28, R9",0603,5,100k,C25803
"R11, R13",0603,2,300k,C23024
R14,0603,1,17.4k,C185365
R15,0603,1,953k/1%,C403405
R16,0603,1,107k/1%,C245894
"R19, R20, R5",0603,3,100R,C22775
"R21, R3, R4",0603,3,2.2k,C4190
R22,0603,1,30k,C22984
R23,0603,1,5.23k,C185317
R25,1206,1,0.01R/1%,C7467248
"R26, R27",0603,2,1k,C21190
"R6, R7",0603,2,22R,C23345
R8,0603,1,634k,C273753
SW1,SW_Push_1P1T_XKB_TS-1187A,1,Reset,C318884
SW2,SW_Push_1P1T_XKB_TS-1187A,1,Boot,C318884
SW3,PG1316S,1,Down,
SW4,PG1316S,1,User,
SW5,PG1316S,1,Up,
TH1,0603,1,NCU18XH103F60RB,C440252
"TP1, TP2, TP3, TP4",TestPoint_Pad_D2.0mm,4,TestPoint,
U1,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,1,SHT4x,C2909890
U2,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1,C2913206
U3,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,1,MAX98357A,C910544
U4,Texas_X2QFN-12_1.6x1.6mm_P0.4mm,1,FUSB303BTMX,C895444
U5,Texas_VQFN-RNR0011A-11,1,TPS61089,C165129
U6,Diodes_UDFN-10_1x2.5mm_P0.5mm,1,D3V3XA4B10LP,C1980462
U7,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,BQ25895RTW,C80200
U8,Texas_DRC0010J_ThermalVias,1,TPS63001,C28060
U9,SOT-23-5,1,INA180A3,C122882
